entity_id,fy_label,field,column,rule,value_before,value_after,note
*,*,*,(row),DROP_BLANK_ROW,420 rows,420 rows,0 fully-empty spacer rows removed
E06,FY2025,revenue_total,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,revenue_south_africa,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,revenue_foreign,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,cost_of_sales,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,inventory,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,trade_receivables,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,trade_payables,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,gross_debt,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,debt_current,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,debt_noncurrent,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,debt_maturity_note_page,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,finance_costs,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,capex,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,cash_and_equivalents,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,fx_forward_notional,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,committed_facilities_total,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,undrawn_facilities,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,lenders_named,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,employees,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,avg_zar_rate,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E06,FY2025,closing_zar_rate,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,revenue_total,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,revenue_south_africa,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,revenue_foreign,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,cost_of_sales,source_doc/url/page,FIX_SOURCE_COL_SHIFT,False | nan | nan,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,inventory,source_doc/url/page,FIX_SOURCE_COL_SHIFT,False | nan | nan,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,trade_receivables,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,trade_payables,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,gross_debt,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,debt_current,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,debt_noncurrent,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,debt_maturity_note_page,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (full AFS document re | 2026-08-14 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
E07,FY2025,finance_costs,source_doc/url/page,FIX_SOURCE_COL_SHIFT,True | Claude (web search/fetch) | 2026-12-08 00:00:00,,Source columns held verified/extracted_by/verified_date content. Cleared. Page-level references for these rows survive in extraction_note.
